Unnamed: 0,Tweet,Date,Username,Hashtags,Category
173,"Delighted to receive an award on behalf of the World Toilet Organization for our good work in the #Sanitation sector in India under #SwachhBharatAbhiya. The award is given by Sankalp for Khadi and #GlobalIndianInternationalSchool, Singapore Campus.",2020-01-24 02:49:59+00:00,WorldToilet,#Sanitation #SwachhBharatAbhiya #GlobalIndianInternationalSchool,Sanitation
174,Everybody poops. Only some use toilets. Even fewer wash their hands. Soap up for sanitation! ,2020-01-23 20:25:59+00:00,LyfNDaFastLaine,,Sanitation
175,"I have finally purchased The Archaeology of Sanitation in Roman Italy abt toilets, sewers, and water systems. I was told it's a fantastic book and having read abt the methodology of Romans wiping their asses convinced me that this is sg I need to know in depth.",2020-01-23 18:29:49+00:00,HunDude,,Sanitation
176,"They neglect to mention that these children don't have access to clean water, toilets, sanitation, and FOOD! You know the things that help a body stay healthy and grow up. How about the WHO invest in providing that? That doesn't make them money!",2020-01-23 18:09:06+00:00,LifeDorr,,Sanitation
177,"We cancelled our trip to China/Southeast Asia last year and opted for Europe (again). The warnings of disease, lack of sanitation, food contamination, even the lack of ""toilet paper"" was enough to write this area off. People, it's not 1 world... https://www.tripadvisor.com/ShowTopic-g294211-i642-k6848880-Tell_me_about_toilet_paper-China.html",2020-01-23 15:35:31+00:00,FloridaFunny,,Sanitation
178,"I hate being in Canary Wharf part 2,047: there is better sanitation in war zones. The toilets at Mirror towers would be condemned by the WHO.",2020-01-23 14:49:37+00:00,FinanceHog,,Sanitation
179,"“In 2015, the United Nations General Assembly declared sanitation a universal human right. This means that everyone, everywhere, has the right to a toilet.” http://sanitationfirst.org/blog/the-right-to-a-toilet/ @WaterAidEth @WeCleanEthiopia @seleshi_b_a @lia_tadesse @jegnit #Whatwefound in #AddisAbeba ",2020-01-23 13:54:34+00:00,Gwadegna1,#Whatwefound #AddisAbeba,Sanitation
180,"It's not right that healthcare facilities lack clean water, decent toilets and good hygiene services. Our governments can and must do better to improve quality healthcare through increased access to water, sanitation and hygiene. #WASHinHealth #SDG6 #SDG3",2020-01-23 12:41:23+00:00,RUNDAK23,#WASHinHealth #SDG6 #SDG3,Sanitation
181,"TNUSSP’s work with Tamil Nadu’s first #FSTP in #Karunguzhi town, shows how #sanitation does not end with flushing #toilets. While access to toilets is the most publicised issue, find out what other steps complete the sanitation cycle. ",2020-01-23 09:52:31+00:00,TNUSSP,#FSTP #Karunguzhi #sanitation #toilets,Sanitation
182,The future is now. Get ready for #GalaxyZFold2 – the phone that is designed to change the shape of the future. Which feature are you most excited about? Register now: https://bit.ly/2YQHu2b #Samsung,2020-09-01 15:45:00+00:00,SamsungIndia,#GalaxyZFold2 #Samsung,Sanitation
183,They do say- i dunno how much of itis true for all cruises- that toilet content is sucked out to marine sanitation farms which subtract the water &amp;that water is treated till its potable -then pumped back into the ocean. The aerobic bacteria break down the poopoosludge in storage,2020-01-23 08:18:42+00:00,sarumahdi,,Sanitation
184,"#EveryoneForever means water and sanitation that lasts – for every family, clinic, and school. In most water and sanitation work, the focus is on short-term wins – building a few wells or toilets without considering how they will keep serving people long into the future. ",2020-01-23 06:36:36+00:00,Water4People_RW,#EveryoneForever,Sanitation
185,"Along with the construction of a #toilet, it’s equally important to use and maintain it. Regular cleaning of your #sanitation facility will help you avert a number of diseases. @swachhbharat @narendramodi @MyGovNagaland @mygovindia @JPNadda @PMOIndia",2020-01-23 05:00:00+00:00,erpronoyboruah,#toilet #sanitation,Sanitation
186,"Shit is one thing but piss?! Where is all the toilet pee going? Urine contains sacred DNA molecules which ancient people drank and poured into their orifices to heal &amp; ascend; now big toilet is collecting everyone's pee and making it disappear under the guise of ""sanitation""...",2020-01-23 04:41:45+00:00,birdbath,,Sanitation
187,"So basically it’s just about if the media will give you a pass or not. Where was the pressure on Hanson Young, or T. Burke to resign when they used tax payer monies for family holidays.This is toilets at a sporting club, a necessary sanitation item.",2020-01-23 02:06:52+00:00,poore56,,Sanitation
188,"We are working on that,you shud check some facts. India has progressed a lot in terms of sanitation since 2014. More than 2 crore toilets have been built. You knw Faeco oral route is most common for disease transmission",2020-01-22 19:39:32+00:00,Massey20415153,,Sanitation
189,"Whenever I have to sit down on an airport toilet and they don’t have those sanitation tracing papers, I usually just use my neck pillow.",2020-01-22 14:38:46+00:00,CodyColinChase,,Sanitation
190,This is good too see an increment in Tissue & Hygiene practices in India. I wish to see a high jump in this as still millions of people in our country don't have Toilet &amp; Sanitation facilities that lead them to Defecate Outdoors... #India #Facilities,2020-01-22 13:58:47+00:00,MdRehanRajput,#India #Facilities,Sanitation
191,"Portable Sanitation and Toilet Stickers. Water and Weatherproof, Non Fade and 5+ years Outdoor. https://www.atlanticcoaststudios.com/event.aspx #Stickers",2020-01-22 13:31:33+00:00,AtlanticCoastUK,#Stickers,Sanitation
192,And the talk show is back! Here's the fantastic story of @GARVtoilet: the startup that's transforming public toilets from yucky to funky! Watch the episode: https://youtu.be/GrWVORRgE2w #talkshow #startup #Entrepreneurship #sanitation #socialenterprise,2020-01-22 12:47:44+00:00,lakshmirebecca,#talkshow #startup #Entrepreneurship #sanitation #socialenterprise,Sanitation
193,Toilet Bidet Seat Spray Istinja Water Bathroom Home Sanitation Single Nozzle New https://ebay.us/cVrWCJ via @eBay,2020-01-22 12:31:31+00:00,crazyozdiscount,,Sanitation
194,#Countdowntoinkwash19 #inkwash19 #Startupideas #asci #asciindia #sanitation #innovation Made in Mumbai : Socially Sustainable Public Toilets @malinireddy @Chary_VSC @UrbanMgtASCI @ASCIMEDIA @RICH_Hyd,2020-01-22 11:47:21+00:00,InkWash19,#Countdowntoinkwash19 #inkwash19 #Startupideas #asci #asciindia #sanitation #innovation,Sanitation
